workflow,package_index,section,chars,tokens_est,section_tokens,pct_of_prompt,cost_usd,quality_roi,static_or_dynamic,calibration,notes
Weekly Strategy,strategy,Product Brain,2257,565,565,9.59,0.000315,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Attention First,1141,286,286,1.16,0.001459,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Creative Candidate,8875,2219,2219,8.96,0.011317,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Creative DNA,2367,592,592,2.39,0.003019,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Content Quality,1413,354,354,1.43,0.001805,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Hook V2,1277,320,320,1.29,0.001632,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Visual Creative Rules,539,135,135,0.55,0.000689,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Visual Creative Rules,6694,1674,1674,6.76,0.008538,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Available Assets,3443,861,861,3.48,0.004391,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Asset Evidence,440,110,110,0.44,0.000561,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Smart Asset Rules,1682,421,421,1.70,0.002147,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Presentation Block,9540,2385,2385,9.63,0.012164,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Visual Scene Plan,975,244,244,0.99,0.001244,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Asset Library Rules,644,161,161,0.65,0.000821,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Platform Style,578,145,145,0.59,0.000740,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Platform Style,2611,653,653,2.64,0.003330,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,Task / Output JSON Shape,2214,554,554,2.24,0.002825,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,0,unallocated_missing_context,0,0,10668,43.09,0.054408,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Direction,1,System Prompt,341,86,86,4.79,0.001746,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,1,Unlabelled Prompt,73,19,19,1.06,0.000386,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,1,Product Brain,1897,475,475,26.46,0.009642,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,1,Strategy Item,158,40,40,2.23,0.000812,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,1,Run Context,153,39,39,2.17,0.000792,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,1,Anti-Repetition / Recent Memory,159,40,40,2.23,0.000812,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,1,Direction Definition,448,112,112,6.24,0.002273,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,1,Hard Constraints,471,118,118,6.57,0.002395,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,1,Output JSON Shape,507,127,127,7.08,0.002578,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,1,unallocated_missing_context,0,0,739,41.17,0.015000,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Direction Evaluation,1,System Prompt,275,69,69,2.59,0.000974,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Unlabelled Prompt,72,18,18,0.68,0.000254,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Strategy Item,678,170,170,6.39,0.002400,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Anti-Repetition / Recent Memory,44,11,11,0.41,0.000155,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Scoring Instructions,155,39,39,1.47,0.000551,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Selected Directions / Concepts,1158,290,290,10.89,0.004094,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Selected Directions / Concepts,1278,320,320,12.02,0.004518,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Selected Directions / Concepts,1250,313,313,11.76,0.004419,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Selected Directions / Concepts,1255,314,314,11.80,0.004433,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Selected Directions / Concepts,1197,300,300,11.27,0.004235,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Selected Directions / Concepts,1281,321,321,12.06,0.004532,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Selected Directions / Concepts,1299,325,325,12.21,0.004588,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,Output JSON Shape,535,134,134,5.03,0.001892,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,1,unallocated_missing_context,0,0,38,1.43,0.000536,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Ideation,1,System Prompt,240,60,60,1.72,0.002768,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Unlabelled Prompt,182,46,46,1.32,0.002122,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Product Brain,1925,482,482,13.81,0.022239,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Strategy Item,158,40,40,1.15,0.001846,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Run Context,187,47,47,1.35,0.002169,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Available Assets,250,63,63,1.81,0.002907,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Anti-Repetition / Recent Memory,140,35,35,1.00,0.001615,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Selected Directions / Concepts,77,20,20,0.57,0.000923,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Selected Directions / Concepts,925,232,232,6.65,0.010704,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Selected Directions / Concepts,944,236,236,6.76,0.010889,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Selected Directions / Concepts,858,215,215,6.16,0.009920,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Hard Constraints,1238,310,310,8.88,0.014303,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,Output JSON Shape,1398,350,350,10.03,0.016149,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Ideation,1,unallocated_missing_context,0,0,1354,38.80,0.062472,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Creative Critic,1,System Prompt,373,94,50,1.06,0.000414,Critical,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Scoring Instructions,59,15,8,0.17,0.000066,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Strategy Item,881,221,118,2.51,0.000976,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Scoring Instructions,262,66,35,0.74,0.000290,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5445,1362,730,15.53,0.006039,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5255,1314,703,14.96,0.005815,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5268,1317,706,15.02,0.005840,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5669,1418,760,16.17,0.006287,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5710,1428,765,16.28,0.006328,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5480,1370,734,15.62,0.006072,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Output JSON Shape,677,170,91,1.94,0.000753,Useful,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,System Prompt,373,94,50,1.06,0.000395,Critical,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Scoring Instructions,59,15,8,0.17,0.000063,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Strategy Item,881,221,119,2.51,0.000940,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Scoring Instructions,262,66,35,0.74,0.000277,Unknown,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5445,1362,735,15.53,0.005807,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5255,1314,708,14.96,0.005594,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5268,1317,711,15.03,0.005617,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5669,1418,765,16.17,0.006044,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5710,1428,771,16.29,0.006091,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Selected Directions / Concepts,5480,1370,739,15.62,0.005839,Critical,dynamic,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Creative Critic,1,Output JSON Shape,677,170,91,1.92,0.000719,Useful,static,scaled_down_to_telemetry,Measured chars / 4; never scaled upward.
Presentation Generation,1,System Prompt,349,88,88,0.35,0.000465,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Product Brain,2257,565,565,2.24,0.002988,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Hard Constraints,244,61,61,0.24,0.000323,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Pain Points,1667,417,417,1.65,0.002205,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Proof Pool,819,205,205,0.81,0.001084,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Scenario Pool,2338,585,585,2.32,0.003093,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Website Rules,1506,377,377,1.50,0.001994,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Funnel Asset Policy,347,87,87,0.35,0.000460,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Strategy Item,158,40,40,0.16,0.000212,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Creative Directive / Safety,862,216,216,0.86,0.001142,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Creative Directive / Safety,624,156,156,0.62,0.000825,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Package Diversity,704,176,176,0.70,0.000931,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Attention First,1141,286,286,1.13,0.001512,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Creative Candidate,10472,2618,2618,10.39,0.013844,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Creative DNA,2488,622,622,2.47,0.003289,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Content Quality,1413,354,354,1.40,0.001872,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Hook V2,1277,320,320,1.27,0.001692,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Visual Creative Rules,539,135,135,0.54,0.000714,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Visual Creative Rules,6694,1674,1674,6.64,0.008852,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Available Assets,3443,861,861,3.42,0.004553,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Asset Evidence,440,110,110,0.44,0.000582,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Smart Asset Rules,1682,421,421,1.67,0.002226,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Presentation Block,9540,2385,2385,9.46,0.012611,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Visual Scene Plan,975,244,244,0.97,0.001290,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Asset Library Rules,644,161,161,0.64,0.000851,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Platform Style,578,145,145,0.58,0.000767,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Platform Style,2611,653,653,2.59,0.003453,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,Task / Output JSON Shape,2214,554,554,2.20,0.002929,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Presentation Generation,1,unallocated_missing_context,0,0,10687,42.40,0.056511,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Direction,2,System Prompt,341,86,86,4.40,0.001576,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,2,Unlabelled Prompt,73,19,19,0.97,0.000348,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,2,Product Brain,1897,475,475,24.31,0.008703,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,2,Strategy Item,166,42,42,2.15,0.000770,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,2,Run Context,155,39,39,2.00,0.000715,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,2,Anti-Repetition / Recent Memory,159,40,40,2.05,0.000733,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,2,Direction Definition,448,112,112,5.73,0.002052,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,2,Hard Constraints,475,119,119,6.09,0.002180,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,2,Output JSON Shape,507,127,127,6.50,0.002327,Useful,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction,2,unallocated_missing_context,0,0,895,45.80,0.016399,Unknown,dynamic,measured_plus_unallocated_missing_context,Exact telemetry exceeds reconstructed text; likely persisted visual/attention/identity/medium context.
Direction Evaluation,2,System Prompt,275,69,69,2.60,0.000960,Critical,static,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Unlabelled Prompt,72,18,18,0.68,0.000250,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Strategy Item,682,171,171,6.46,0.002378,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Anti-Repetition / Recent Memory,44,11,11,0.42,0.000153,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Scoring Instructions,155,39,39,1.47,0.000542,Unknown,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Selected Directions / Concepts,1275,319,319,12.04,0.004436,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Selected Directions / Concepts,1141,286,286,10.80,0.003977,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Selected Directions / Concepts,1224,306,306,11.55,0.004255,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
Direction Evaluation,2,Selected Directions / Concepts,1210,303,303,11.44,0.004214,Critical,dynamic,measured_plus_unallocated_missing_context,Measured chars / 4; never scaled upward.
