call_index,attempt_index,step_name,provider,model,start_time,end_time,duration_ms,prompt_tokens,completion_tokens,estimated_cost,repair,retry_count,accepted,discarded,failure_reason,input_artifact_path,output_artifact_path
19,0,JSON Repair,openai,gpt-4o-mini-2024-07-18,2026-07-24T00:45:00.410Z,2026-07-24T00:45:38.453Z,38043,3540,3672,0.002734,True,0,false,path_discarded,$.video.duration_seconds: expected string;$.platform_outputs.x.cta: expected non-empty string (min 1),reports/c26ec3c5-artifacts/call_019_meta.json,reports/c26ec3c5-artifacts/call_019_meta.json
20,0,Creative Direction Generation,claude,claude-sonnet-4-6,2026-07-24T00:45:45.196Z,2026-07-24T00:46:32.664Z,47468,2991,2167,0.041478,False,0,true,,,reports/c26ec3c5-artifacts/call_020_meta.json,reports/c26ec3c5-artifacts/call_020_meta.json
21,0,Creative Direction Evaluation,claude,claude-sonnet-4-6,2026-07-24T00:46:32.682Z,2026-07-24T00:47:10.898Z,38216,3249,2096,0.041187,False,0,true,,,reports/c26ec3c5-artifacts/call_021_meta.json,reports/c26ec3c5-artifacts/call_021_meta.json
22,0,Creative Ideation,claude,claude-sonnet-4-6,2026-07-24T00:47:10.899Z,2026-07-24T00:51:43.326Z,272427,5614,14007,0.226947,False,0,true,,,reports/c26ec3c5-artifacts/call_022_meta.json,reports/c26ec3c5-artifacts/call_022_meta.json
23,0,Creative Engine,claude,,2026-07-24T00:51:43.355Z,2026-07-24T00:51:43.355Z,0,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_023_meta.json,reports/c26ec3c5-artifacts/call_023_meta.json
24,0,Candidate Judge,deterministic,,2026-07-24T00:51:43.355Z,2026-07-24T00:51:43.355Z,0,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_024_meta.json,reports/c26ec3c5-artifacts/call_024_meta.json
25,0,Narrative Beats,deterministic,,2026-07-24T00:51:43.355Z,2026-07-24T00:51:43.361Z,6,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_025_meta.json,reports/c26ec3c5-artifacts/call_025_meta.json
26,0,Presentation Generation,claude,claude-sonnet-4-6,2026-07-24T00:51:43.387Z,2026-07-24T00:54:09.199Z,145812,23665,4096,0.132435,False,0,true,,,reports/c26ec3c5-artifacts/call_026_meta.json,reports/c26ec3c5-artifacts/call_026_meta.json
27,0,JSON Repair,openai,gpt-4o-mini-2024-07-18,2026-07-24T00:52:54.419Z,2026-07-24T00:53:24.407Z,29989,3722,3616,0.002728,True,0,true,,,reports/c26ec3c5-artifacts/call_027_meta.json,reports/c26ec3c5-artifacts/call_027_meta.json
28,0,JSON Repair,openai,gpt-4o-mini-2024-07-18,2026-07-24T00:53:24.408Z,2026-07-24T00:54:09.195Z,44787,3456,3351,0.002529,True,0,true,,$.video.duration_seconds: expected string,reports/c26ec3c5-artifacts/call_028_meta.json,reports/c26ec3c5-artifacts/call_028_meta.json
29,0,Hook Enforcement,deterministic,,2026-07-24T00:54:09.201Z,2026-07-24T00:54:09.202Z,1,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_029_meta.json,reports/c26ec3c5-artifacts/call_029_meta.json
30,0,Concept Fidelity,deterministic,,2026-07-24T00:54:09.202Z,2026-07-24T00:54:09.214Z,12,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_030_meta.json,reports/c26ec3c5-artifacts/call_030_meta.json
31,0,Story Integrity,deterministic,,2026-07-24T00:54:09.217Z,2026-07-24T00:54:09.226Z,9,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_031_meta.json,reports/c26ec3c5-artifacts/call_031_meta.json
32,0,Product Demonstration Integrity,deterministic,,2026-07-24T00:54:09.227Z,2026-07-24T00:54:09.230Z,3,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_032_meta.json,reports/c26ec3c5-artifacts/call_032_meta.json
33,0,Platform Outputs,deterministic,,2026-07-24T00:54:09.257Z,2026-07-24T00:54:09.257Z,1,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_033_meta.json,reports/c26ec3c5-artifacts/call_033_meta.json
34,0,Persist Package,deterministic,,2026-07-24T00:54:09.258Z,2026-07-24T00:54:13.373Z,4115,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_034_meta.json,reports/c26ec3c5-artifacts/call_034_meta.json
35,0,TTS,tts,gpt-4o-mini-tts,2026-07-24T00:54:15.482Z,2026-07-24T00:54:20.340Z,4859,,,0.005475,False,0,true,,,reports/c26ec3c5-artifacts/call_035_meta.json,reports/c26ec3c5-artifacts/call_035_meta.json
36,0,Whisper,whisper,whisper-1,2026-07-24T00:54:20.341Z,2026-07-24T00:54:22.819Z,2478,,,0.002386,False,0,true,,,reports/c26ec3c5-artifacts/call_036_meta.json,reports/c26ec3c5-artifacts/call_036_meta.json
37,0,Image generation,image,gpt-image-1,2026-07-24T00:54:22.964Z,2026-07-24T00:56:13.368Z,110405,,,0.21,False,0,true,,,reports/c26ec3c5-artifacts/call_037_meta.json,reports/c26ec3c5-artifacts/call_037_meta.json
38,0,Video rendering,video,,2026-07-24T00:56:13.576Z,2026-07-24T00:59:13.317Z,179742,,,,False,0,true,,,reports/c26ec3c5-artifacts/call_038_meta.json,reports/c26ec3c5-artifacts/call_038_meta.json
